"ID"	"Gender"	"Y4_Formative"	"Y4_Final"	"RP_Proposal"	"Events"	"Optional"
10541	2	77.66	79.47	2016-03-10	11	0
10167	1	79.13	83.21	2016-04-09	8	2
10735	2	75.97	84.92	2015-12-09	13	0
10933	1	73.92	76.58	2016-03-20	3	2
10477	2	69.36	77	2016-05-20	3	3
10283	1	71.82	79.37	2015-10-18	3	0
10842	2	75.92	88.35	2016-06-05	11	0
10978	2	77.29	86.28	2015-10-10	13	0
10446	2	86.45	89.73	2015-09-08	2	2
10020	2	74.67	85.41	2015-11-16	7	0
10423	1	75.23	86.56	2015-10-15	6	0
10802	2	75.45	75.48	2016-05-16	1	3
10872	2	77.49	80.02	2015-11-02	9	0
10178	1	81.83	84.14	2016-03-12	11	5
10608	1	74.83	86.53	2016-06-04	5	0
10642	1	78.79	86.94	2016-01-14	12	0
10470	1	79.58	89.58	2015-12-24	5	1
10102	2	79.3	89.2	2015-12-09	0	3
10671	2	76.84	80.24	2015-12-06	3	3
10239	1	77.06	83.67	2016-05-08	8	1
10907	1	80.32	87.13	2016-03-08	4	4
10476	2	76.29	84.2	2015-11-14	6	4
10502	2	80.61	84.27	2015-10-02	0	1
10504	2	80.8	87.8	2016-01-09	5	0
10753	2	80.17	86.51	2016-04-19	8	0
10467	2	71.82	82.27	2016-01-01	6	5
10375	2	78.13	87.77	2015-11-14	4	1
10410	1	71.08	77.96	2016-04-24	2	0
10007	1	82.1	88.66	2016-03-04	6	2
10237	1	81.07	88.4	2015-12-31	3	1
10303	2	74.39	85.59	2016-05-27	4	0
10243	1	77.96	87.86	2016-01-24	1	2
10901	2	71.67	78.08	2016-05-10	4	0
10639	1	73.01	84.28	2016-02-22	10	2
10911	2	74.29	82.59	2015-09-19	0	1
10158	1	75.37	83.21	2016-05-20	0	2
10478	2	74.89	87.02	2015-10-04	9	1
10686	1	80.81	86.73	2015-11-12	5	1
10075	2	78.86	83.97	2016-04-28	10	2
10881	2	74.57	84.17	2016-02-09	2	0
10932	2	77.87	82.43	2016-03-22	1	0
10104	2	77.64	83.54	2016-03-27	11	1
10663	2	73.26	79.54	2016-02-11	8	3
10503	2	79.45	85.25	2015-09-16	9	1
10864	2	85.77	90.82	2015-12-03	3	0
10880	2	80.91	90.29	2016-02-09	7	2
10783	2	80.59	84.18	2016-05-31	6	2
10116	2	71.95	87.46	2016-01-12	4	3
10377	2	77.25	84.28	2016-02-02	9	2
10681	1	70.63	85.18	2016-03-27	4	3
10749	2	80.45	87.15	2016-05-16	4	0
10067	2	73.37	80.99	2015-11-04	2	0
10455	1	79.54	94.38	2015-11-15	4	2
10952	2	78.57	84	2016-03-21	2	0
10217	2	75.39	83.44	2016-02-12	11	2
10077	2	75.54	89.85	2015-11-24	8	3
10060	2	77.36	86.84	2015-09-10	0	2
10471	1	84.79	90.11	2016-04-23	3	2
10754	1	77.45	84.14	2015-11-07	7	0
10631	2	76.05	81.56	2015-12-16	5	0
10620	2	74.44	82.32	2016-05-27	2	5
10615	2	77.41	88.72	2016-05-17	4	1
10353	2	73.94	76.86	2015-09-21	4	2
10996	2	82.17	85.9	2016-05-10	3	0
10085	1	73.38	79.33	2016-04-03	9	2
10129	2	76.76	84.12	2015-09-13	6	0
10742	1	74.84	81.24	2016-05-16	7	0
10095	1	78.52	87.38	2016-02-12	3	0
10627	1	82.31	87.33	2016-02-24	9	2
10758	1	77.44	85.35	2016-06-08	8	1
10143	1	74.06	83.07	2016-04-23	6	0
10614	1	75.13	89.72	2016-02-25	11	5
10186	2	77.32	85.19	2015-10-16	5	0
10489	2	74.53	79.76	2016-01-05	7	2
10579	2	77.04	89.66	2016-01-10	6	4
10113	2	78.02	86.17	NA	13	0
10954	2	73.82	81.89	2016-06-03	13	1
10606	1	73.99	78.84	2016-02-12	0	4
10613	1	76.19	86.34	2016-03-18	1	0
10863	2	73.2	86.99	2015-09-28	10	4
10018	1	77.1	82.27	2016-02-29	13	0
10100	2	79.52	84.04	2015-10-28	10	0
10072	2	76.42	80.68	2016-04-19	11	2
10096	2	79.45	90.17	2016-04-10	11	3
10700	1	76.15	90.31	2015-09-11	10	0
10185	2	71.01	75.52	2016-05-23	11	0
10589	2	82.41	82.53	2016-05-05	6	2
10166	2	80.5	86.91	2015-12-23	1	0
10466	2	72.89	81.81	2016-05-17	6	1
10572	1	81.98	91.8	2015-10-05	1	0
10223	2	76.9	88.24	2016-01-21	3	5
10398	1	80.4	80.46	2015-12-03	12	5
10634	2	77.08	89.3	2016-02-24	6	3
10511	2	83.21	93.48	2016-03-21	10	2
10200	2	75.99	90.55	2016-03-06	6	2
10193	2	77.47	90.08	2015-10-31	0	0
10267	2	69.85	75.98	2015-10-02	5	0
10235	2	81.52	94.38	2016-03-03	0	3
10530	2	70.32	75.65	2016-04-12	9	3
10513	1	71.74	79.9	2015-12-14	5	5
10976	2	80.16	86.66	2015-11-23	2	3
10955	2	76.98	83.3	2015-11-15	13	1
10201	2	75.26	82.39	2016-03-18	5	0
10962	1	76.68	75.7	2015-12-14	4	1
10013	2	76.34	92.4	2016-03-12	6	0
10673	1	79.54	83.39	2016-04-15	1	1
10747	2	78.04	89.33	2015-12-14	7	4
10861	1	80.29	86.1	2016-02-01	9	1
10837	1	84.64	88.9	2015-09-01	0	0
10403	2	74.38	78.11	2015-09-25	4	0
10733	2	82.24	91.12	2015-10-01	5	4
10443	1	77.86	86.93	2015-10-17	6	3
10416	2	80.55	88.38	2015-10-04	6	4
10848	1	74.41	82.39	2015-10-12	4	0
10983	2	75.47	85.83	2016-02-18	2	2
10805	1	79.04	82.3	2016-01-09	1	0
10093	2	77.26	83.99	2015-09-06	4	4
10992	2	77.41	84.22	2016-05-03	3	3
10002	1	82.03	91.06	2015-12-09	12	4
